Opcode,SHA-256 Hash
tsteq.w,5eddf6f1e092c86d00b4ccef770d5f6b337055706ec4c3d1e1ad5fc008ad8e85
stmia.w,edeee80b5cbe49e2dfbf364936e48e7369070f411ca1d45be86e5159e3c736f2
cmpcs,ab54c715b22a47cbbb43121d13f6aeb4b45389afc69e61331d8e04dcb2535f09
sub,45df18c4b6f03b364a030f8e7966b2cabf3ada5013a4031fb22aea04d4437bb6
ite,764b4699726269ecd61997bea82bc9470e105849a75689dc862bdae914464d0d
addmi.w,9c65bf8b81ebd1ff04b397c683ccedf4ed22b890c96805097348aeae8696b65c
addpl.w,7bbf06be88d7ea6d5ec90ba819f3c62904ee74d8e7a6260a4fcaa312b2781c0f
ldrh,c3bf126a2c0c144bba9e1d888ce4d3714ae6813f5b7206c9324c9052abf7f919
streq,a4b1a6f742bf76a53070c9c401d668e2d59ea121ecdefb39769d96208ca3a612
stmia,2623046d88f24e13abf0ac46f9ea78fb5217d6ee013c39b4c7747022def6fe88
strb.w,3b5ea2f8ed90bbca2c31c8ac0cd0ea8272cd81e2e18270dce43e0a6ab600e0b1
cfstr64ge,bf3fdb2c9fbc74081d3c572c860ba72b74d95044f702be1fac0c06c6220acb4a
ldcl,854894bc387f6a79ba4acf57eaac4699c99373113f4d630da84e0e8bf5489781
ldrb,9b567a3906dd77bd3c78ee6624df7879182296686b16aa3ad816100c8522f815
strb,a59439f1790a57e705b6722a5cf29233194722f1804c768625d6b127747fca45
mulcc,f99afd9970e864744525f25b981104e0032aa97689ee2b9345e83d8b82b88e32
stmdapl,ee25bc13fa3213f0da9f70cc3cf46cc60aa2f6741ca994f62003818777fda1c4
andmi,d9c9684b7c9ed3b2a4add9b6ecad5858f557c501a396b24c41e17286beb1b698
bmi.w,2116e10eacedc980efe23059f836688ada2375f64698fa839b9def106ff69d9b
uxtb,86ac7a7ab629b247a687e1a705e50b0499fa187db4fa1ae232bc231bbdb31851
muls,dbecc6e07cf6cee8b98fdcbe8cae87dbd88e2e61153369155bb2a841ee29dcbe
ldreq,8c19f74f4b81df0e5e0e0de7eac46d7475cc19ced1758d3f6119cbc0b06f09ac
addw,a957253a9e772a0bc746b0cbd26e4a8ba058e30c0980874f386f6b894068db4c
subw,ac49b0d4fb99d64d5aa5be6972268de4a82a3581398e5efe81d9181206f08f87
ldrls,a149c2a458f42bc4951d711fb84bcb26e7c1ad7fbcfc198f1c320d2a599e3fd6
strls,dfe1aaf01ffd1fe79bffccbf9f3c6b2fe6330f90587743ce4376e16a83d98240
movls,0f7e9abcb96ced52ede43ae49afdb551b72c460a269a8b7cc0f5ccbf454b76ed
strbls,7f7519db7af7c5c5067680b95d9644b5ee7ce4edae156cc6cd369c223540504e
ldrh.w,8353ff7b07fcc27a710bb0bbd7033d592af7dc09ef7eb114a59aca4bb98c05e5
strh.w,649047f3f52b4afde3364bdd610a9aaca1935f4b5ae1d8bd2c313091ccfd09a1
ldrsb.w,fe2490a6ad4f879f9329fd9deb52b92f15d7434b3e1ba8acb21ad8e7210a3229
ldrsh.w,9dc55f71a6c0fb5d6f7dfa3c1558e7e59f6f068944ccaad13972d85799d4a234
vabs.f32,83d020a1672330c23f55355fb2dcebf628f4fdff2438587b9579367becd732b7
vcmpe.f32,770421798ddb7191b5d4cb8f8010c8ac4580a7a22c0c53181fe7142c4a623d5a
ble.w,480ff3145b5dbbdacbd071eea6c48af5a16c6305a55b632168896759821a6ba1
strcc,f5522337906a6bfb7d37e92a3a32351705904e58247516a7f92e112850cfeca3
movcs,8ea280e0c33e0d04bff8772d690f072b1f7db375f498aab978c2f3b2861c9620
strbcs.w,5b1aaa0d8b829386c99225feb5df05e622c5eee4418c71f7106b5a413dce74eb
ands,ef0dd9b4e32f44deb99ac097e91765d5a0ef7fb8346c6ca8b18d72d840a6139c
vmov.f32,733c8fa55613762e23dc1a71a0b10a46df63359aa092c52a85cc985ae33bebd7
vstr,b0f10319c1852627d90816cee77dddc983a19bcde723992295dafcc9db0443a0
vcvt.f32.f64,d6eba7b8eb94465e2567423ab8f1e14898ddc4b47fb1ce0f9da2cb4aa59b7206
vldrlt,929845284a76ed8416224d826deb0b20b33bd03c1b499894a0d8cdd713e24ec1
vmul.f32,7bc5ece44eb7fb6adccfdb815bfe0187883b5fa6930596a198887e8d4bd559fc
svccc,615db344e740b53e893160fbb55ce948916c66c5dedce94dc06d283fb131ba3a
vcvt.f32.s32,6310f555abce3369cb6017cafaa6defb6159a41f33ad7e2b00f0713e603f0a9c
vadd.f32,87d2dcda0c902a3399cbf5bab5c780a6129818250f387755a97c818c8036775f
vdiv.f32,68c1e746fcdd28db8dc55d58d6ceaa871d810b7be2da7efcf44f6b1cb22cb460
vcmp.f32,f089d27e2709db57b1628645705d902e2ed580ed0f7c298c8c360786d800c02e
vselgt.f32,60a7fcdb8f29fa95010813baddc2de237522d004aa462aeb45e18f2c0977dfb0
vmovmi.f32,21b7b795538272013968ac8a643abf8999bbca95552a2343988f09e4a3a75dae
vdivgt.f32,69f5423763034658376d2cd64b51b2f2a7312be581b892d0a42dc9c1db5c2e3a
vmovle.f32,c5bcfb5eaf175bf75d814644e60527f30f70dfc582b7d53225139c3f7724381b
vmovpl.f32,412a6f024534779c646da06eeccca58afb6ffaa42ac003e5e6fb9a66e8d0d9a7
ldmcc,97437906d9486131f8786d6993096cf8a2da95273e4d1284b69371d3c8a47025
